Year,Semester,Branch,Subject_Code,Subject_Name,Subject_Code_Name,Unit,Keywords
1,1,CSE,TCS 101,Fundamental of computer and Introduction to Programming,TCS 101 - Fundamental of computer and Introduction to Programming,Unit 2,First C program - Hello world | scanf() | getchar() | putchar() Variables and Data types - Variables | Identifiers | data types and sizes | type conversions | difference between declaration and definition of a variable | Constants Life of a C program (Preprocessing | Compilation | Assembly | Linking
1,1,CSE,TCS 101,Fundamental of computer and Introduction to Programming,TCS 101 - Fundamental of computer and Introduction to Programming,Unit 1,Generation of computers | Computer system memory hierarchy | Input/Output | RAM/ROM | Software & Hardware | Understand bit | byte | GB and their relations to each other | Operating System overview
1,1,CSE,TCS 101,Fundamental of computer and Introduction to Programming,TCS 101 - Fundamental of computer and Introduction to Programming,Unit 3,Conditional statements: if statement | if-else statement | ternary statement or ternary operator | nested if-else statement | switch statement | Difference between performance of if else and switch | Advantages of if else and switch over each other Loops: for loops | while loops | do while loops | entry control and exit control | break and continue | nested loops
1,1,CSE,TCS 101,Fundamental of computer and Introduction to Programming,TCS 101 - Fundamental of computer and Introduction to Programming,Unit 4,Functions: Function prototype | function return type | signature of a function | function arguments | call by value | Function call stack | Recursion v/s Iteration | passing arrays to functions | Storage classes: Automatic | Static | Register | External
1,1,CSE,TCS 101,Fundamental of computer and Introduction to Programming,TCS 101 - Fundamental of computer and Introduction to Programming,Unit 5,Arrays: Single-dimensional arrays | initializing arrays | computing address of an element in array | character arrays | segmentation fault | bound checking | Searching and Sorting. Total
1,2,CSE,TCS 201,Programming for Problem Solving,TCS 201 - Programming for Problem Solving,Unit 2,Pointers Basic of pointers and addresses | Pointers and arrays | Pointer arithmetic | passing pointers to functions | calloc() | realloc() | free() | memory leak | Dangling | Void | Null and Wild pointers Structures - Structures | array of structures
1,2,CSE,TCS 201,Programming for Problem Solving,TCS 201 - Programming for Problem Solving,Unit 1,Multi-Dimensional Arrays- Initializing arrays | row major and column major form of an array | character strings and arrays | Strings  Declaration of strings | Initialization of strings using arrays and pointers | Standard library functions of string.
1,2,CSE,TCS 201,Programming for Problem Solving,TCS 201 - Programming for Problem Solving,Unit 3,File Handling - Opening or creating a file | closing a file | File modes | Reading and writing a text file using getc() | putc() | fprintf() | fscanf() | fgets() | fputs() | Reading and writing in a binary file | counting lines in a text file | Search in a text file
1,2,CSE,TCS 201,Programming for Problem Solving,TCS 201 - Programming for Problem Solving,Unit 4,PythonHistory of Python | Need of Python Programming | Python features | First Python Program | Running python Scripts | Variables | Reserved words | Lines and indentation | Quotations | Comments | Input output. Data Types | Operators and Expressions: Standard Data Types  Numbers
1,2,CSE,TCS 201,Programming for Problem Solving,TCS 201 - Programming for Problem Solving,Unit 5,Control flow  if | if-elif-else | while | break | continue | pass | range() | writing text file | copying one file to another Total
